sample	metabolite	isotopologue	area	area_corrected_IS	isotopologue_fraction	mean_enrichment
050417_T18-EFF_M0_01_91	Alanine	0	4098117.0	4098117.0	1.0	0.0
050417_T18-EFF_M0_01_91	Alanine	1	81595.0	81595.0	0.0	0.0
050417_T18-EFF_M0_01_91	Alanine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Alanine	3	47518.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	0	3877545.0	3877545.0	1.0	0.0
050417_T18-EFF_M0_01_91	Arginine	1	213001.0	213001.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Arginine	6	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Asparagine	0	49263.0	49263.0	1.0	0.0
050417_T18-EFF_M0_01_91	Asparagine	1	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Asparagine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Asparagine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Asparagine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Aspartate	0	4063821.0	4063821.0	0.9958052600831211	0.003146054937659123
050417_T18-EFF_M0_01_91	Aspartate	1	131812.0	131812.0	0.0	0.003146054937659123
050417_T18-EFF_M0_01_91	Aspartate	2	0.0	0.0	0.0	0.003146054937659123
050417_T18-EFF_M0_01_91	Aspartate	3	17374.0	17374.0	0.004194739916878831	0.003146054937659123
050417_T18-EFF_M0_01_91	Aspartate	4	9066.0	0.0	0.0	0.003146054937659123
050417_T18-EFF_M0_01_91	GSH	0	3558562.0	3558562.0	1.0	0.0
050417_T18-EFF_M0_01_91	GSH	1	342888.0	342888.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	6	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	7	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	8	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	9	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSH	10	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	0	8269643.0	8269643.0	1.0	0.0
050417_T18-EFF_M0_01_91	GSSG	1	1733833.0	1733833.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	2	58971.0	58971.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	6	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	7	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	8	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	9	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	10	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	11	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	12	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	13	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	14	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	15	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	16	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	17	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	18	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	19	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	GSSG	20	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glutamate	0	18392704.0	18392704.0	0.9989166793170706	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamate	1	938204.0	938204.0	0.0	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamate	2	44777.0	44777.0	0.0010833206829294472	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamate	3	0.0	0.0	0.0	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamate	4	0.0	0.0	0.0	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamate	5	16724.0	0.0	0.0	0.0004333282731717789
050417_T18-EFF_M0_01_91	Glutamine	0	638830.0	638830.0	1.0	0.0
050417_T18-EFF_M0_01_91	Glutamine	1	30300.0	30300.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glutamine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glutamine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glutamine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glutamine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glycine	0	5501721.0	5501721.0	1.0	0.0
050417_T18-EFF_M0_01_91	Glycine	1	76171.0	76171.0	0.0	0.0
050417_T18-EFF_M0_01_91	Glycine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	0	2288065.0	2288065.0	1.0	0.0
050417_T18-EFF_M0_01_91	Histidine	1	119755.0	119755.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Histidine	6	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	0	9344142.0	9344142.0	1.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	1	589255.0	589255.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	2	7726.0	7726.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Isoleucine	6	24627.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	0	10104014.0	10104014.0	1.0	0.0
050417_T18-EFF_M0_01_91	Leucine	1	611244.0	611244.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	2	7118.0	7118.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Leucine	6	38315.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	0	3675097.0	3675097.0	1.0	0.0
050417_T18-EFF_M0_01_91	Lysine	1	198066.0	198066.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	2	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	3	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	4	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	5	0.0	0.0	0.0	0.0
050417_T18-EFF_M0_01_91	Lysine	6	0.0	0.0	0.0	0.0
