	type	comment	050417_T18-EFF_M0_01_91	050417_T18-EFF_M0_02_92	050417_T18-EFF_M0_03_93	050417_T18EFF_M0_01_94	050417_T18EFF_M0_02_95	050417_T18EFF_M0_03_96	050417_T19-EFF_M1_01_97	050417_T19-EFF_M1_02_98	050417_T19-EFF_M1_03_99	050417_T19EFF_M1_01_100	050417_T19EFF_M1_02_101	050417_T19EFF_M1_03_102	050417_T20-EFF_M2_01_103	050417_T20-EFF_M2_02_104	050417_T20-EFF_M2_03_105	050417_T20EFF_M2_01_106	050417_T20EFF_M2_02_107	050417_T20EFF_M2_03_108	050417_T22-EFF_M4_01_109	050417_T22-EFF_M4_02_110	050417_T22-EFF_M4_03_111	050417_T22EFF_M4_01_112	050417_T22EFF_M4_02_113	050417_T22EFF_M4_03_114	050417_T24-EFF_M6_01_115	050417_T24-EFF_M6_02_116	050417_T24-EFF_M6_03_117	050417_T24EFF_M6_01_118	050417_T24EFF_M6_02_119	050417_T24EFF_M6_03_120	101716_13C15N_H20_01	101716_13C15N_H20_02	101716_13C15N_H20_03	101716_13C15N_H20_04	101716_13C15N_H20_05
Alanine	IS_ratio		6.267010148855097	6.2311698662297115	6.687835917097683	8.912059573442034	6.156824336847387	6.787842230358792	4.5172534938202995	3.9528008787344997	4.315900853288155	3.5725175184245037	3.5626621173410054	3.824831022414789	4.1372916626061675	3.817060434574496	3.540576440682643	2.791944966277594	14.221608528728275	3.085068521181202	4.215083245259405	4.282231154031943	4.277808335095127	2.526051924212868	2.311491285195474	2.948585133257212	5.997820508015105	5.502122525773788	5.6252257034286615	2.6793251770693876	2.7781070935238366	3.073088167579587	Error: out of calibration range ([0.37200000000000005, 47.59]).	Error: out of calibration range ([0.37200000000000005, 47.59]).	Error: out of calibration range ([0.37200000000000005, 47.59]).	Error: out of calibration range ([0.37200000000000005, 47.59]).	Error: out of calibration range ([0.37200000000000005, 47.59]).
Arginine	IS_ratio		Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	2.343266161399459	Error: out of calibration range ([1.615, 51.665]).	2.275591652828082	3.815375789468473	1.620365107939553	Error: out of calibration range ([1.615, 51.665]).	2.044156055393632	2.043859061345156	1.6327320813373223	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	20.41160695312085	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	1.7519062146455096	1.7257535355144296	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).	Error: out of calibration range ([1.615, 51.665]).
Asparagine	area		Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).	Error: out of calibration range ([1.514, 48.44]).
Aspartate	IS_ratio		Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).	Error: out of calibration range ([1.6130000000000002, 51.615]).
GSH	area		3901450.0	4553314.0	2013065.0	1115881.0	800359.0	773912.0	3083807.0	4053655.0	4039272.0	2585135.0	1880557.0	524921.0	2409301.0	3895878.0	5237441.0	1864482.0	371812.0	2585016.0	1837951.0	2586148.0	3660794.0	1711019.0	1103581.0	1287548.0	2041438.0	1445447.0	2188373.0	348852.0	904431.0	381240.0	0.0	0.0	0.0	0.0	0.0
GSSG	area		10062447.0	9021663.0	11458359.0	7969323.0	8940976.0	8601873.0	10767030.0	10041155.0	10618306.0	6837560.0	7130672.0	9695518.0	8703024.0	8829189.0	6905630.0	6901411.0	2796131.0	6856779.0	10536818.0	9464524.0	6835355.0	7120319.0	6726775.0	6569550.0	8862818.0	12325918.0	7798694.0	5617358.0	5690426.0	7057595.0	0.0	0.0	0.0	0.0	0.0
Glutamate	IS_ratio		5.264593627876234	5.052447214020598	5.222238858074576	4.052877713458781	3.5258290068505054	3.8402318243696234	5.238591152372636	5.034188381384946	5.439627799198573	3.003855816104344	3.008918638462824	3.405998451692633	5.191391940490054	4.833793368618479	4.530224706785731	2.7768423360845804	3.2554205404164733	2.81410994849026	4.5092539024708564	4.523702078613936	4.287698799697564	2.4313138313311278	1.8988467582383803	2.3374317967457428	4.261009734343033	4.770975577712304	4.905333429053867	Error: out of calibration range ([1.829, 58.53]).	Error: out of calibration range ([1.829, 58.53]).	2.054344569607794	Error: out of calibration range ([1.829, 58.53]).	Error: out of calibration range ([1.829, 58.53]).	Error: out of calibration range ([1.829, 58.53]).	Error: out of calibration range ([1.829, 58.53]).	Error: out of calibration range ([1.829, 58.53]).
Glutamine	area		Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	10.914742491793778	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).	Error: out of calibration range ([1.676, 53.644]).
Glycine	IS_ratio		33.30149859137248	36.01755358723803	34.182265288713744	31.17277606086026	25.148630894602043	27.839596159705625	35.080788552649025	43.86982611856494	39.70330814129834	25.731311204768463	29.253576405948458	27.514902386345433	35.30893818652898	30.85099660662381	31.628689815798474	25.507660674371497	50.97829970046974	25.93536637995589	35.806660204143725	41.12127169579583	34.89791061403432	33.55507689272249	23.416731350494228	29.97975427145504	35.49528693368117	36.64382602654671	37.224413482494306	36.98406788743778	23.831658525736884	26.275169228154216	Error: out of calibration range ([9.658, 77.26]).	Error: out of calibration range ([9.658, 77.26]).	Error: out of calibration range ([9.658, 77.26]).	Error: out of calibration range ([9.658, 77.26]).	Error: out of calibration range ([9.658, 77.26]).
Histidine	IS_ratio		Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	3.91040833272413	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).	Error: out of calibration range ([1.589, 50.85]).
